Position,Const,Created,Modified,Description,Name,Known For,Birth Date
663,nm0285302,2016-10-23,2016-10-23,301 points,Bryan Forbes,The Guns of Navarone,1926-07-22
664,nm0000365,2013-02-08,2013-02-08,301 points,Julie Delpy,Trois couleurs: Blanc,1969-12-21
665,nm0796124,2012-08-05,2012-08-05,301 points,Charles Shyer,Private Benjamin,1941-10-11
666,nm0420982,2012-08-18,2012-08-18,300 points,Tamara Jenkins,The Savages,1962-05-02
667,nm0950226,2012-08-12,2012-08-12,300 points,Ben Younger,Boiler Room,1972-10-07
668,nm0836715,2014-12-01,2014-12-01,299 points,Philipp Stölzl,Nordwand,
669,nm0922903,2015-03-08,2015-03-08,299 points,Wash Westmoreland,Still Alice,1966-03-04
670,nm0322144,2015-03-08,2015-03-08,299 points,Richard Glatzer,Still Alice,1952-01-28
671,nm0424103,2012-08-26,2012-08-26,298 points,Karan Johar,Kuch Kuch Hota Hai,1972-05-25
672,nm0218840,2017-11-21,2017-11-21,297 points,Jacques Demy,Les parapluies de Cherbourg,1931-06-05
673,nm0923330,2014-08-02,2014-08-02,297 points,Tanya Wexler,Hysteria,1970-08-06
674,nm0438279,2016-05-18,2016-05-18,296 points,Jonathan Kaplan,The Accused,1947-11-25
675,nm0485943,2015-07-26,2017-04-09,295 points,Walter Lang,The King and I,1896-08-10
676,nm0024925,2016-08-27,2016-08-27,295 points,Hossein Amini,Drive,
677,nm0514822,2016-10-06,2017-08-26,294 points,Anatole Litvak,The Snake Pit,1902-05-10
678,nm0115218,2012-07-26,2012-07-26,294 points,Tod Browning,The Unknown,1880-07-12
679,nm0951698,2015-09-11,2015-09-11,294 points,Justin Zackham,The Bucket List,
680,nm0459552,2017-11-19,2017-11-19,291 points,Elem Klimov,Idi i smotri,1933-07-09
681,nm0006554,2016-10-09,2016-10-09,290 points,Rodrigo García,Nine Lives,1959-08-24
682,nm0357607,2012-07-27,2016-04-24,289 points,Robert Hamer,Kind Hearts and Coronets,1911-03-31
683,nm0462030,2015-01-19,2015-01-19,288 points,Masaki Kobayashi,Seppuku,1916-02-14
684,nm0113284,2012-07-26,2016-09-21,288 points,Clarence Brown,Anna Karenina,1890-05-10
685,nm0576548,2017-02-04,2017-02-04,286 points,Deepa Mehta,Fire,1950-01-01
686,nm0267309,2013-04-12,2013-04-12,285 points,James Fargo,The Enforcer,1938-08-14
687,nm0002087,2014-08-30,2017-04-25,284 points,Samuel Fuller,Shock Corridor,1912-08-12
688,nm0005917,2012-08-05,2017-01-14,284 points,Joseph Vilsmaier,Stalingrad,1939-01-24
689,nm0070159,2016-01-02,2017-02-10,283 points,Jafar Panahi,Taxi,1960-07-11
690,nm0284774,2017-01-15,2017-01-15,283 points,Anne Fontaine,Les innocentes,1959-07-15
691,nm0035462,2012-08-12,2012-08-12,283 points,Neil Armfield,Candy,1955-04-22
692,nm2128335,2017-10-03,2017-10-03,283 points,J Blakeson,I Care a Lot,
693,nm0400731,2012-07-29,2012-07-29,282 points,Ken Hughes,Chitty Chitty Bang Bang,1922-01-19
694,nm0464846,2014-11-20,2016-05-08,281 points,Andrey Konchalovskiy,Belye nochi pochtalyona Alekseya Tryapitsyna,1937-08-20
695,nm0000341,2012-07-29,2012-08-04,281 points,Michael Crichton,Jurassic Park,1942-10-23
696,nm0001401,2012-09-01,2012-09-01,281 points,Angelina Jolie,"Girl, Interrupted",1975-06-04
697,nm0541149,2012-12-15,2016-10-31,278 points,Rouben Mamoulian,Dr. Jekyll and Mr. Hyde,1897-10-08
698,nm0432380,2012-08-12,2012-08-12,278 points,Miranda July,Me and You and Everyone We Know,1974-02-15
699,nm0000641,2012-08-05,2012-08-05,277 points,Gary Sinise,Forrest Gump,1955-03-17
700,nm3304468,2016-01-24,2016-01-24,277 points,John Maclean,Slow West,
701,nm0844358,2012-08-04,2012-08-04,275 points,Jeannot Szwarc,Somewhere in Time,1939-11-21
702,nm0134559,2017-06-15,2017-06-15,274 points,Laurent Cantet,Entre les murs,1961-04-11
703,nm0534084,2012-07-29,2012-08-04,274 points,Ian MacNaughton,Monty Python's Flying Circus,1925-12-30
704,nm0733476,2013-08-18,2015-06-27,272 points,Mark Robson,Peyton Place,1913-12-04
705,nm1104944,2014-06-06,2014-06-06,272 points,Heitor Dhalia,O Cheiro do Ralo,1970-01-18
706,nm0945282,2012-12-07,2016-06-02,271 points,Yôji Yamada,Tasogare Seibei,1931-09-13
707,nm1127653,2013-12-15,2013-12-15,268 points,Massy Tadjedin,Last Night,
708,nm0886754,2012-07-26,2016-02-08,267 points,W.S. Van Dyke,The Thin Man,1889-03-21
709,nm0258531,2015-05-11,2015-05-11,267 points,Rob Epstein,The Celluloid Closet,1955-04-06
710,nm0295243,2015-05-11,2015-05-11,267 points,Jeffrey Friedman,Linda Ronstadt: The Sound of My Voice,1951-08-24
711,nm0326450,2016-01-02,2016-01-02,267 points,Richard Starzak,Shaun the Sheep Movie,
712,nm0001596,2013-07-13,2014-03-28,266 points,Pier Paolo Pasolini,Salò o le 120 giornate di Sodoma,1922-03-05
713,nm0677953,2012-08-05,2012-08-05,265 points,Donald Petrie,How to Lose a Guy in 10 Days,1954-04-02
714,nm0332950,2012-08-11,2012-08-11,264 points,Ashutosh Gowariker,"Swades: We, the People",1964-02-15
715,nm0527109,2012-08-18,2012-08-18,264 points,Rod Lurie,The Contender,1962-05-15
716,nm0858525,2012-08-11,2012-08-11,264 points,Betty Thomas,Howard Stern,1947-07-27
717,nm0628345,2016-08-11,2016-08-11,263 points,Fred C. Newmeyer,Safety Last!,1888-08-09
718,nm1402202,2015-03-02,2015-03-02,262 points,Julian Gilbey,A Lonely Place to Die,
719,nm0421314,2012-08-12,2012-08-12,261 points,Anders Thomas Jensen,Adams æbler,1972-04-06
720,nm0653620,2016-03-17,2017-11-05,259 points,Gérard Oury,Le corniaud,1919-04-29
721,nm0367431,2012-07-29,2012-07-29,256 points,Anthony Harvey,The Lion in Winter,1930-06-03
722,nm0542720,2013-05-04,2016-07-26,256 points,Delbert Mann,Marty,1920-01-30
723,nm2123102,2015-04-28,2015-04-28,254 points,Eran Creevy,Shifty,
724,nm0001779,2016-12-20,2016-12-20,252 points,Tom Stoppard,Shakespeare in Love,1937-07-03
725,nm2326979,2014-02-07,2014-02-07,251 points,Larysa Kondracki,The Whistleblower,
726,nm0006476,2012-08-12,2012-08-12,251 points,Paul McGuigan,Lucky Number Slevin,1963-09-19
727,nm0001710,2012-08-26,2012-08-26,250 points,David Schwimmer,Friends,1966-11-02
728,nm0000907,2012-08-05,2012-08-05,249 points,Richard Benjamin,Westworld,1938-05-22
729,nm0920108,2012-08-12,2012-08-12,249 points,Audrey Wells,The Hate U Give,1960-01-25
730,nm0155280,2012-08-05,2015-11-11,247 points,Kaige Chen,Ba wang bie ji,1952-08-12
731,nm0518644,2016-09-11,2016-09-11,247 points,Richard Loncraine,Richard III,1946-10-20
732,nm0108745,2012-08-04,2012-08-04,247 points,James Bridges,The China Syndrome,1936-02-03
733,nm0918326,2012-08-12,2014-03-22,247 points,Hans Weingartner,Die fetten Jahre sind vorbei,1977-11-02
734,nm0063785,2012-08-11,2012-08-11,246 points,Henry Bean,The Believer,1945-08-03
735,nm0000780,2012-08-12,2012-08-12,245 points,Denys Arcand,Les invasions barbares,1941-06-25
736,nm0779386,2017-10-08,2017-10-08,245 points,Jordan Scott,Cracks,
737,nm0424800,2012-08-12,2012-08-12,245 points,Clark Johnson,S.W.A.T.,1954-09-10
738,nm0031078,2012-08-26,2012-08-26,244 points,Steve Antin,The Goonies,1958-04-19
739,nm0896533,2015-12-06,2017-10-28,243 points,Charles Vidor,Gilda,1900-07-27
740,nm0752328,2012-08-18,2012-08-18,243 points,Stefan Ruzowitzky,Die Fälscher,1961-12-25
741,nm0000169,2016-01-26,2016-01-26,243 points,Tommy Lee Jones,The Fugitive,1946-09-15
742,nm0522028,2012-07-29,2012-07-29,242 points,John Lounsbery,The Many Adventures of Winnie the Pooh,1911-03-09
743,nm0308520,2012-08-18,2012-08-18,240 points,Matteo Garrone,Dogman,1968-10-15
744,nm0460141,2016-04-18,2016-04-18,239 points,Steve Kloves,The Fabulous Baker Boys,1960-03-18
745,nm0362736,2012-07-29,2012-07-29,238 points,Robin Hardy,The Wicker Man,1929-10-02
746,nm0771923,2016-01-02,2016-01-02,237 points,Sebastian Schipper,Victoria,1968-05-08
747,nm0001102,2012-08-04,2012-08-04,235 points,Joe Dante,Innerspace,1946-11-28
748,nm0023355,2013-01-20,2013-01-20,235 points,Christian Alvart,Pandorum,1974-05-28
749,nm0772691,2014-11-26,2015-04-06,234 points,Hans-Christian Schmid,23,1965-08-19
750,nm0002160,2013-06-12,2013-06-12,234 points,Moustapha Akkad,The Message,1930-07-01
751,nm0710919,2013-09-20,2013-09-20,234 points,Jean-Paul Rappeneau,Cyrano de Bergerac,1932-04-08
752,nm0611932,2012-08-11,2012-08-11,234 points,Peter Mullan,The Magdalene Sisters,1959-11-02
753,nm0889513,2017-02-18,2017-07-09,233 points,Agnès Varda,Sans toit ni loi,1928-05-30
754,nm0310673,2016-03-31,2016-03-31,232 points,Sarah Gavron,Suffragette,
755,nm0945981,2017-05-31,2017-08-09,230 points,Edward Yang,Yi yi,1947-11-06
756,nm1108007,2016-08-28,2016-08-28,230 points,David Lowery,A Ghost Story,1980-12-26
757,nm0855035,2012-08-11,2012-08-11,229 points,Andy Tennant,Fool's Gold,1955-06-15
758,nm1699934,2012-09-15,2012-09-15,229 points,Sean Durkin,Martha Marcy May Marlene,1981-12-09
759,nm0455078,2012-08-26,2012-08-26,228 points,Michael Patrick King,Sex and the City 2,1954-09-14
760,nm0482537,2017-06-12,2017-06-12,227 points,René Laloux,La planète sauvage,1929-07-13
761,nm0745131,2012-08-12,2012-08-12,226 points,Marc Rothemund,Sophie Scholl - Die letzten Tage,1968-08-26
762,nm0624535,2013-09-08,2017-09-17,225 points,Jean Negulesco,Boy on a Dolphin,1900-02-26
763,nm0097648,2017-05-17,2017-06-05,224 points,Frank Borzage,7th Heaven,1894-04-23
764,nm0009463,2012-08-12,2012-08-12,222 points,Hany Abu-Assad,Omar,1961-10-11
765,nm0933505,2012-08-06,2012-08-06,221 points,Hugh Wilson,Blast from the Past,1943-08-24
766,nm0678857,2016-05-10,2016-05-10,220 points,Christian Petzold,Barbara,1960-09-14
767,nm0660707,2017-01-08,2017-01-08,220 points,Gilles Paquet-Brenner,Elle s'appelait Sarah,1974-09-14
768,nm0005348,2015-05-29,2015-05-29,217 points,Carl Reiner,The Dick Van Dyke Show,1922-03-20
769,nm0428600,2012-08-10,2012-08-10,216 points,Kirk Jones,Waking Ned,1964-10-31
770,nm0853130,2015-07-13,2015-08-27,216 points,Sam Taylor,Safety Last!,1895-08-13
771,nm0001707,2016-05-04,2016-05-04,214 points,Paul Schrader,First Reformed,1946-07-22
772,nm0624102,2012-08-04,2012-08-04,214 points,Hal Needham,Smokey and the Bandit,1931-03-06
773,nm0515979,2012-07-26,2016-05-11,212 points,Frank Lloyd,Mutiny on the Bounty,1886-02-02
774,nm0287025,2015-06-11,2015-06-11,211 points,Bill Forsyth,Local Hero,1946-07-29
775,nm1285613,2012-08-26,2012-08-26,211 points,Andrew Jarecki,Capturing the Friedmans,1963-03-24
776,nm0782384,2014-07-22,2014-07-22,211 points,Susan Seidelman,Desperately Seeking Susan,1952-12-11
777,nm0500552,2016-10-22,2017-09-13,210 points,Mitchell Leisen,Death Takes a Holiday,1898-10-06
778,nm0423524,2013-07-06,2013-07-06,209 points,Alejandro Jodorowsky,El Topo,1929-02-17
779,nm1128037,2015-05-03,2015-05-03,209 points,Ruben Östlund,Triangle of Sadness,1974-04-13
780,nm0553942,2016-02-07,2016-02-07,209 points,Steve Martino,The Peanuts Movie,
781,nm0910199,2012-07-27,2016-12-31,208 points,Charles Walters,Lili,1911-11-17
782,nm0315842,2015-01-11,2015-01-11,207 points,Bahman Ghobadi,Lakposhtha parvaz mikonand,1969-02-01
783,nm0609236,2012-08-06,2012-08-06,207 points,Jonathan Mostow,Terminator 3: Rise of the Machines,1961-11-28
784,nm0168413,2012-07-27,2016-05-08,205 points,Jean Cocteau,La belle et la bête,1889-07-05
785,nm0002199,2015-09-17,2015-09-17,204 points,Hector Babenco,Carandiru,1946-02-07
786,nm0841232,2012-08-06,2016-04-23,202 points,Jan Sverák,Akumulátor 1,1965-02-06
787,nm0802693,2013-06-12,2013-06-12,202 points,Ramesh Sippy,Sholay,1947-01-23
788,nm0585344,2017-11-25,2017-11-25,202 points,Jim Mickle,Stake Land,
789,nm0161717,2012-08-11,2012-08-12,200 points,Patrice Chéreau,Intimacy,1944-11-02
790,nm0000559,2012-08-04,2012-08-04,200 points,Leonard Nimoy,Star Trek IV: The Voyage Home,1931-03-26
791,nm0718554,2017-02-23,2017-02-23,199 points,Karel Reisz,The French Lieutenant's Woman,1926-07-21
792,nm0782430,2017-11-20,2017-11-20,199 points,Ulrich Seidl,Paradies: Liebe,1952-11-24
793,nm0000059,2017-01-29,2017-01-29,198 points,Laurence Olivier,Sleuth,1907-05-22
794,nm0724798,2017-01-29,2017-02-01,197 points,Tony Richardson,A Taste of Honey,1928-06-05
795,nm0394280,2017-01-01,2017-01-01,197 points,Stephen Hopkins,Lost in Space,1958-11-01
796,nm2581581,2012-08-18,2012-08-18,197 points,Courtney Hunt,Frozen River,
797,nm0958558,2017-11-11,2017-11-11,196 points,Andrzej Zulawski,Possession,1940-11-22
798,nm1742427,2014-12-23,2014-12-23,196 points,Michaël R. Roskam,The Drop,1972-10-09
799,nm0315065,2013-03-24,2013-03-24,196 points,Sacha Gervasi,Anvil: The Story of Anvil,
800,nm0104973,2013-10-18,2013-10-18,196 points,Michael Brandt,3:10 to Yuma,1968-10-01
801,nm0000766,2017-03-07,2017-03-23,195 points,Theodoros Angelopoulos,Mia aioniotita kai mia mera,1935-04-27
802,nm0562845,2013-03-03,2015-02-02,195 points,Archie Mayo,Vengeance,1891-01-29
803,nm0793881,2014-10-15,2014-10-15,195 points,Kaneto Shindô,Hadaka no shima,1912-04-22
804,nm0704664,2017-08-20,2017-08-20,195 points,Ilmar Raag,Klass,1968-05-21
805,nm0765121,2012-07-29,2012-07-29,195 points,Joseph Sargent,Jaws: The Revenge,1925-07-22
806,nm0330619,2012-08-04,2012-08-04,195 points,Steve Gordon,Arthur,
807,nm0803066,2017-03-04,2017-03-04,194 points,Abderrahmane Sissako,Timbuktu,1961-10-13
808,nm3592235,2014-07-20,2014-07-20,194 points,Ritesh Batra,The Lunchbox,1979-06-12
809,nm1061623,2012-08-18,2012-08-18,193 points,Philippe Claudel,Il y a longtemps que je t'aime,1962-02-02
810,nm0002089,2017-10-30,2017-10-30,192 points,Sidney J. Furie,Superman IV: The Quest for Peace,1933-02-25
811,nm0483738,2016-01-08,2016-01-08,192 points,Albert Lamorisse,Le ballon rouge,1922-01-13
812,nm0507390,2016-12-10,2016-12-10,191 points,Joseph H. Lewis,Gun Crazy,1907-04-06
813,nm0165412,2017-01-01,2017-01-01,191 points,James Clavell,The Great Escape,1921-10-10
814,nm0265852,2014-05-30,2014-05-30,191 points,Philippe Falardeau,The Good Lie,1968-02-01
815,nm0005759,2012-08-18,2012-08-18,190 points,Lajos Koltai,La leggenda del pianista sull'oceano,1946-04-02
816,nm0804408,2017-09-30,2017-09-30,189 points,Erik Skjoldbjærg,Okkupert,1964-12-14
817,nm0764781,2012-07-29,2014-01-05,189 points,Richard C. Sarafian,Vanishing Point,1930-04-28
818,nm0027183,2012-07-28,2017-09-08,188 points,Michael Anderson,Logan's Run,1920-01-30
819,nm0005713,2014-07-06,2014-07-06,188 points,Karl Freund,Key Largo,1890-01-16
820,nm0003557,2012-08-26,2012-08-26,188 points,Richard J. Lewis,CSI: Crime Scene Investigation,
821,nm0001438,2013-09-14,2013-09-14,188 points,Neil LaBute,In the Company of Men,1963-03-19
822,nm0888743,2017-05-07,2017-05-07,187 points,James Vanderbilt,Zodiac,
823,nm0597673,2016-01-03,2016-01-03,187 points,Karen Moncrieff,The Dead Girl,1963-12-20
824,nm0188669,2016-03-27,2016-03-27,186 points,John Cromwell,The Prisoner of Zenda,1886-12-23
825,nm0853374,2012-08-19,2012-08-19,186 points,Sam Taylor-Johnson,Nowhere Boy,1967-03-04
826,nm1012501,2015-02-03,2015-02-03,186 points,Rupert Wyatt,The Escapist,1972-10-26
827,nm0941811,2015-01-24,2015-04-02,186 points,Sönke Wortmann,Das Wunder von Bern,1959-08-25
828,nm0292419,2012-08-04,2012-08-04,185 points,James Frawley,The Muppet Movie,1936-09-29
829,nm0934578,2012-08-05,2012-08-05,185 points,Simon Wincer,Harlequin,
830,nm0435563,2013-06-08,2015-11-13,184 points,Mikhail Kalatozov,Letyat zhuravli,1903-12-28
831,nm0506290,2015-04-11,2015-04-11,183 points,Kristian Levring,The Salvation,1957-05-09
832,nm0647718,2014-08-13,2014-08-13,183 points,Lasse Spang Olsen,I Kina spiser de hunde,1965-04-23
833,nm0065442,2016-04-21,2016-04-21,181 points,Jacques Becker,Le trou,1906-09-15
834,nm0625680,2015-03-15,2015-03-15,181 points,Ralph Nelson,Lilies of the Field,1916-08-12
835,nm1391924,2017-11-10,2017-11-10,181 points,Gustavo Taretto,Medianeras,
836,nm0307819,2012-07-27,2017-04-01,179 points,Tay Garnett,The Postman Always Rings Twice,1894-06-13
837,nm0512862,2012-08-11,2012-08-18,179 points,Caroline Link,Nirgendwo in Afrika,1964-06-02
838,nm0432216,2015-09-07,2015-09-07,179 points,Rupert Julian,"The Kaiser, the Beast of Berlin",1879-01-25
839,nm0742034,2012-08-04,2012-08-04,179 points,Martin Rosen,Watership Down,1936-08-31
840,nm0952360,2012-08-06,2012-08-06,178 points,Jerry Zaks,Marvin's Room,1946-09-07
841,nm0598102,2017-01-06,2017-04-02,177 points,Mario Monicelli,I compagni,1915-05-16
842,nm0675068,2014-12-14,2017-09-17,176 points,Frank Perry,Mommie Dearest,1930-08-21
843,nm0861703,2012-07-27,2017-09-23,176 points,Richard Thorpe,Knights of the Round Table,1896-02-24
844,nm0688361,2015-10-10,2015-10-10,176 points,Bill Pohlad,12 Years a Slave,
845,nm0651915,2017-06-07,2017-06-07,175 points,Nagisa Ôshima,"Merry Christmas, Mr. Lawrence",1932-03-31
846,nm0767022,2016-03-02,2017-05-23,173 points,Carlos Saura,Cría cuervos,1932-01-04
847,nm0383359,2012-08-04,2012-08-04,173 points,Colin Higgins,Nine to Five,1941-07-28
848,nm0354279,2014-10-08,2014-10-08,171 points,Randa Haines,Antwone Fisher,1945-02-20
849,nm0425756,2012-08-10,2012-08-10,171 points,Mark Steven Johnson,Love in the Villa,1964-10-30
850,nm1324710,2017-02-25,2017-02-25,170 points,Martin Zandvliet,Under sandet,1971-01-07
851,nm2197025,2016-04-02,2016-04-02,170 points,Deniz Gamze Ergüven,Mustang,1978-06-04
852,nm0691547,2016-05-22,2016-05-22,169 points,Erik Poppe,Utøya 22. juli,1960-06-24
853,nm0411631,2017-12-04,2017-12-04,166 points,Jûzô Itami,Osôshiki,1933-05-15
854,nm0394199,2012-08-18,2012-08-18,166 points,Joel Hopkins,Jump Tomorrow,1970-09-06
855,nm0334787,2017-10-09,2017-10-09,166 points,Michael Grandage,My Policeman,1962-05-02
856,nm0065449,2015-12-11,2016-03-05,165 points,Jean Becker,La tête en friche,1933-05-10
857,nm0000228,2014-05-24,2014-05-24,165 points,Kevin Spacey,The Usual Suspects,1959-07-26
858,nm1333798,2016-04-11,2016-04-11,165 points,Mabrouk El Mechri,JCVD,1976-09-18
859,nm0517597,2014-11-16,2014-11-16,163 points,Joshua Logan,Fanny,1908-10-05
860,nm0002216,2016-03-10,2016-03-10,163 points,Yves Robert,Le grand blond avec une chaussure noire,1920-06-21
861,nm0388198,2012-08-04,2012-08-04,163 points,Mike Hodges,Flash Gordon,1932-07-29
862,nm0254632,2013-02-07,2013-02-07,163 points,Stephan Elliott,"The Adventures of Priscilla, Queen of the Desert",1964-08-27
863,nm0322706,2014-11-22,2014-11-22,162 points,Peter Glenville,Term of Trial,1913-10-28
864,nm0602104,2016-09-17,2016-09-17,163 points,Jocelyn Moorhouse,The Dressmaker,1960-09-04
865,nm0521334,2016-05-02,2016-10-02,162 points,Joseph Losey,The Servant,1909-01-14
866,nm0884547,2017-06-20,2017-06-20,162 points,Tonino Valerii,Il mio nome è Nessuno,1934-05-20
867,nm0051206,2012-08-18,2012-08-18,162 points,Nic Balthazar,Ben X,1964-07-24
868,nm0049326,2016-05-20,2016-05-20,160 points,Aleksey Balabanov,Brat,1959-02-25
869,nm0447944,2016-09-19,2016-09-19,160 points,Burt Kennedy,The War Wagon,1922-09-03
870,nm0005645,2015-06-30,2015-06-30,160 points,Enzo Barboni,I due superpiedi quasi piatti,1922-07-10
871,nm1665004,2015-01-20,2015-01-20,160 points,Imtiaz Ali,Jab We Met,1971-06-16
872,nm0550892,2012-07-26,2017-09-10,159 points,George Marshall,How the West Was Won,1891-12-29
873,nm0874320,2012-08-04,2012-08-04,159 points,Douglas Trumbull,Blade Runner,1942-04-08
874,nm0180257,2012-08-05,2012-08-05,159 points,John Cornell,Crocodile Dundee,1941-03-02
875,nm0235066,2014-01-19,2015-06-17,158 points,Gordon Douglas,Them!,1907-12-15
876,nm0471086,2012-08-18,2012-08-18,158 points,Marco Kreuzpaintner,The Lazarus Project,1977-03-11
877,nm0361135,2017-11-07,2017-11-07,157 points,Mia Hansen-Løve,L'avenir,1981-02-05
878,nm0343260,2012-08-11,2012-08-11,157 points,Ulu Grosbard,Georgia,1929-01-09
879,nm0610960,2017-05-15,2017-05-15,156 points,Kornél Mundruczó,Jupiter holdja,1975-04-03
880,nm0655065,2015-09-24,2017-09-03,155 points,Georg Wilhelm Pabst,Die 3 Groschen-Oper,1885-08-25
881,nm0179281,2012-07-28,2012-07-29,155 points,Sergio Corbucci,Django,1926-12-06
882,nm0779265,2012-08-26,2012-08-26,155 points,Jake Scott,Welcome to the Rileys,
883,nm0799033,2014-10-27,2014-10-27,155 points,Elliot Silverstein,Cat Ballou,1927-08-03
884,nm1090998,2015-06-29,2015-06-29,154 points,Cristi Puiu,Aurora,1967-04-03
885,nm0797672,2016-05-28,2016-05-28,154 points,Slobodan Sijan,Ko to tamo peva,1946-11-16
886,nm0639033,2012-08-11,2012-08-12,153 points,Petter Næss,Elling,1960-03-14
887,nm0167496,2012-07-28,2015-12-19,151 points,René Clément,Jeux interdits,1913-03-18
888,nm0796645,2012-07-27,2012-07-27,151 points,George Sidney,Scaramouche,1916-10-04
889,nm0671862,2012-07-29,2017-01-19,151 points,Roger Vadim,Barbarella,1928-01-26
890,nm0767110,2017-03-28,2017-03-28,150 points,Claude Sautet,Un coeur en hiver,1924-02-23
891,nm0000339,2014-11-11,2014-11-11,150 points,Roger Corman,The Silence of the Lambs,1926-04-05
892,nm1484791,2014-03-22,2014-03-22,150 points,Joshua Oppenheimer,The Act of Killing,1974-09-23
893,nm0011752,2017-01-15,2017-01-15,150 points,Maren Ade,Toni Erdmann,1976-12-12
894,nm0001994,2016-04-17,2016-04-17,150 points,Michael Caton-Jones,Memphis Belle,1957-10-15
895,nm0346550,2016-03-06,2016-03-06,150 points,Davis Guggenheim,Training Day,1963-11-03
896,nm0111656,2012-07-28,2016-07-20,148 points,Peter Brook,Lord of the Flies,1925-03-21
897,nm0752922,2017-11-19,2017-11-19,148 points,Eldar Ryazanov,Nebesa obetovannye,1927-11-18
898,nm0144812,2014-06-08,2014-06-08,148 points,Sergio Castellitto,"Paris, je t'aime",1953-08-18
899,nm0006916,2012-08-03,2013-01-12,148 points,Michael Ritchie,The Golden Child,1938-11-28
900,nm0330456,2017-06-03,2017-06-03,147 points,Michael Gordon,Pillow Talk,1909-09-06
901,nm0000894,2012-08-04,2012-08-04,146 points,Jean-Jacques Beineix,37°2 le matin,1946-10-08
902,nm0004886,2012-08-05,2012-08-05,146 points,Bill Duke,Predator,1943-02-26
903,nm0957794,2017-12-03,2017-12-03,146 points,Erick Zonca,La vie rêvée des anges,1956-09-10
904,nm0393394,2017-07-02,2017-07-02,145 points,Christophe Honoré,"Plaire, aimer et courir vite",1970-04-10
905,nm0345174,2015-04-11,2015-04-11,145 points,Luca Guadagnino,Call Me by Your Name,1971-08-10
906,nm0000248,2015-10-28,2015-10-28,145 points,Edward D. Wood Jr.,Plan 9 from Outer Space,1924-10-10
907,nm0804592,2017-03-12,2017-03-12,144 points,Jerzy Skolimowski,The Avengers,1938-05-05
908,nm0812546,2016-04-30,2016-04-30,144 points,Aleksandr Sokurov,Russkiy kovcheg,1951-06-14
909,nm0002233,2017-09-16,2017-09-16,143 points,Erich von Stroheim,Sunset Blvd.,1885-09-22
910,nm0163706,2012-08-04,2012-08-04,143 points,Bob Clark,A Christmas Story,1939-08-05
911,nm0828099,2014-09-16,2014-09-16,143 points,Patrick Stettner,The Business of Strangers,
912,nm0005196,2012-08-05,2012-08-06,142 points,Paul Mazursky,An Unmarried Woman,1930-04-25
913,nm0657162,2012-07-28,2012-07-28,142 points,George Pal,The War of the Worlds,1908-02-01
914,nm1701024,2012-12-25,2012-12-25,141 points,Nadine Labaki,Et maintenant on va où?,1974-02-18
915,nm0176699,2017-03-11,2017-03-11,140 points,Jack Conway,Viva Villa!,1887-07-17
916,nm0912224,2017-03-19,2017-03-19,139 points,Régis Wargnier,Est - Ouest,1948-04-18
917,nm0905729,2012-08-19,2012-08-19,139 points,George Waggner,The Wolf Man,1894-09-07
918,nm0382584,2012-08-05,2012-08-05,139 points,George Hickenlooper,Dogtown,1963-05-25
919,nm0128050,2012-07-28,2014-11-12,138 points,Michael Cacoyannis,Alexis Zorbas,1922-06-11
920,nm0931095,2012-08-12,2012-08-12,138 points,Tod Williams,Cell,1968-09-27
921,nm0795153,2016-01-27,2016-01-27,138 points,Cate Shortland,Lore,1968-08-10
922,nm3077950,2013-11-28,2013-11-28,138 points,Declan Donnellan,Bel Ami,
923,nm0703689,2014-04-13,2017-01-04,137 points,Richard Quine,The Mickey Rooney Show,1920-11-12
924,nm0622695,2012-08-06,2012-08-06,137 points,Gregory Nava,Selena,1949-04-10
925,nm0242945,2012-07-29,2012-07-29,137 points,George Dunning,Yellow Submarine,1920-11-17
926,nm0161055,2016-05-16,2016-05-16,136 points,Grigoriy Chukhray,Ballada o soldate,1921-05-23
927,nm0478441,2012-07-26,2012-07-26,136 points,Gregory La Cava,Stage Door,1892-03-10
928,nm0375224,2012-08-03,2012-12-25,136 points,Olle Hellbom,Bröderna Lejonhjärta,1925-10-08
929,nm0001709,2012-09-01,2014-05-31,136 points,Til Schweiger,Inglourious Basterds,1963-12-19
930,nm0629243,2017-04-01,2017-04-01,135 points,Fred Niblo,The Artist,1874-01-06
931,nm0279807,2012-07-28,2012-07-28,135 points,Terence Fisher,Dracula,1904-02-23
932,nm2959497,2016-10-01,2016-10-01,135 points,Tim Fehlbaum,Tides,
933,nm0693281,2013-03-02,2016-03-21,134 points,H.C. Potter,Mr. Blandings Builds His Dream House,1904-11-13
934,nm0814469,2015-05-30,2015-05-30,134 points,Sion Sono,Ai no mukidashi,1961-12-18
935,nm0626686,2014-07-27,2014-07-27,134 points,Sandra Nettelbeck,Bella Martha,1966-04-04
936,nm1141181,2016-06-25,2016-06-25,134 points,Matthieu Delaporte,Le prénom,1971-09-02
937,nm0478799,2016-06-25,2016-06-25,134 points,Alexandre de La Patellière,Le prénom,1971-06-24
938,nm0094083,2017-07-03,2017-07-03,133 points,Sergey Bondarchuk,Voyna i mir,1920-09-25
939,nm0579954,2015-01-10,2015-01-10,132 points,Jirí Menzel,Ostre sledované vlaky,1938-02-23
940,nm0502752,2017-04-09,2017-04-30,132 points,Robert Z. Leonard,The Great Ziegfeld,1889-10-07
